seq,anomaly_score,decision
0,0.000000,ALLOW
1,0.000000,ALLOW
2,0.000000,ALLOW
3,0.000000,ALLOW
4,2.000000,ALLOW
5,3.800000,ALLOW
6,5.420000,ALLOW
7,6.878000,ALLOW
8,8.190200,ALLOW
9,9.371180,ALLOW
10,10.434062,ALLOW
11,11.390656,ALLOW
12,12.251590,ALLOW
13,13.026431,ALLOW
14,13.723788,ALLOW
15,14.351409,ALLOW
16,12.916268,ALLOW
17,13.624642,ALLOW
18,14.262177,ALLOW
19,14.835960,ALLOW
20,13.352364,ALLOW
21,14.017127,ALERT
22,14.615415,ALLOW
23,15.153873,ALLOW
24,15.638486,ALLOW
25,16.074637,ALLOW
26,16.467173,ALLOW
27,14.820456,ALLOW
28,15.338411,ALLOW
29,15.804569,ALLOW
30,16.224113,ALLOW
31,16.601701,ALLOW
32,16.941531,ALLOW
33,17.247378,ALLOW
34,17.522640,ALLOW
35,17.770376,ALLOW
36,17.993339,ALLOW
37,16.194005,ALLOW
38,16.574604,ALLOW
39,16.917144,ALLOW
40,17.225429,ALLOW
41,17.502887,ALLOW
42,17.752598,ALLOW
43,17.977338,ALLOW
44,18.179604,ALLOW
45,18.361644,ALLOW
46,18.525479,ALLOW
47,16.672932,ALLOW
48,17.005638,ALLOW
49,17.305075,ALLOW
50,17.574567,ALLOW
51,17.817110,ALLOW
52,18.035399,ALLOW
53,18.231859,ALLOW
54,18.408673,ALLOW
55,18.567806,ALLOW
56,18.711025,ALLOW
57,18.839923,ALLOW
58,18.955931,ALLOW
59,19.060338,ALLOW
60,19.154304,ALLOW
61,17.238873,ALLOW
62,17.514986,ALLOW
63,17.763487,ALLOW
64,17.987139,ALLOW
65,18.188425,ALLOW
66,18.369582,ALLOW
67,18.532624,ALLOW
68,18.679362,ALLOW
69,18.811426,ALLOW
70,18.930283,ALLOW
71,19.037255,ALLOW
72,19.133529,ALLOW
73,19.220176,ALLOW
74,19.298159,ALLOW
75,19.368343,ALLOW
76,19.431509,ALLOW
77,19.488358,ALLOW
78,19.539522,ALLOW
79,17.585570,ALLOW
80,17.827013,ALLOW
81,18.044311,ALLOW
82,18.239880,ALLOW
83,18.415892,ALLOW
84,18.574303,ALLOW
85,16.716873,ALLOW
86,17.045185,ALLOW
87,17.340667,ALLOW
88,17.606600,ALLOW
89,15.845940,ALLOW
90,16.261346,ALLOW
91,16.635212,ALLOW
92,16.971690,ALLOW
93,17.274521,ALLOW
94,17.547069,ALLOW
95,15.792362,ALLOW
96,16.213126,ALLOW
97,16.591813,ALLOW
98,16.932632,ALLOW
99,17.239369,ALLOW
100,17.515432,ALLOW
101,17.763889,ALLOW
102,17.987500,ALLOW
103,16.188750,ALLOW
104,16.569875,ALLOW
105,16.912887,ALLOW
106,17.221599,ALLOW
107,17.499439,ALLOW
108,15.749495,ALLOW
109,16.174545,ALLOW
110,14.557091,ALLOW
111,15.101382,ALLOW
112,15.591244,ALLOW
113,16.032119,ALLOW
114,16.428907,ALLOW
115,16.786017,ALLOW
116,17.107415,ALLOW
117,17.396673,ALLOW
118,17.657006,ALLOW
119,15.891306,ALLOW
120,16.302175,ALLOW
121,16.671957,ALLOW
122,17.004762,ALLOW
123,17.304286,ALLOW
124,17.573857,ALLOW
125,17.816471,ALLOW
126,18.034824,ALLOW
127,16.231342,ALLOW
128,16.608208,ALLOW
129,16.947387,ALLOW
130,17.252648,ALLOW
131,17.527383,ALLOW
132,17.774645,ALLOW
133,17.997180,ALLOW
134,18.197462,ALLOW
135,18.377716,ALLOW
136,16.539945,ALLOW
137,16.885950,ALLOW
138,17.197355,ALLOW
139,15.477620,ALLOW
140,15.929858,ALLOW
141,16.336872,ALLOW
142,16.703185,ALLOW
143,17.032866,ALLOW
144,17.329580,ALLOW
145,15.596622,ALLOW
146,16.036959,ALLOW
147,16.433264,ALLOW
148,16.789937,ALLOW
149,17.110943,ALLOW
150,17.399849,ALLOW
151,17.659864,ALLOW
152,17.893878,ALLOW
153,18.104490,ALLOW
154,18.294041,ALLOW
155,16.464637,ALLOW
156,16.818173,ALLOW
157,17.136356,ALLOW
158,17.422720,ALLOW
159,17.680448,ALLOW
160,17.912403,ALLOW
161,18.121163,ALLOW
162,18.309047,ALLOW
163,18.478142,ALLOW
164,18.630328,ALLOW
165,18.767295,ALLOW
166,18.890566,ALLOW
167,19.001509,ALLOW
168,17.101358,ALLOW
169,17.391222,ALLOW
170,17.652100,ALLOW
171,17.886890,ALLOW
172,18.098201,ALLOW
173,18.288381,ALLOW
174,18.459543,ALLOW
175,18.613589,ALLOW
176,18.752230,ALLOW
177,16.877007,ALLOW
178,17.189306,ALLOW
179,17.470375,ALLOW
180,17.723338,ALLOW
181,17.951004,ALLOW
182,18.155904,ALLOW
183,18.340313,ALLOW
184,18.506282,ALLOW
185,18.655654,ALLOW
186,18.790088,ALLOW
187,18.911080,ALLOW
188,19.019972,ALLOW
189,19.117974,ALLOW
190,19.206177,ALLOW
191,19.285559,ALLOW
192,19.357003,ALLOW
193,19.421303,ALLOW
194,17.479173,ALLOW
195,17.731255,ALLOW
196,17.958130,ALLOW
