seq,anomaly_score,decision
0,0.000000,ALLOW
1,0.000000,ALLOW
2,0.000000,ALLOW
3,0.000000,ALLOW
4,0.000000,ALLOW
5,0.000000,ALLOW
6,0.000000,ALLOW
7,0.000000,ALLOW
8,0.000000,ALLOW
9,0.000000,ALLOW
10,0.000000,ALLOW
11,0.000000,ALLOW
12,0.000000,ALLOW
13,0.000000,ALLOW
14,0.000000,ALLOW
15,0.000000,ALLOW
16,0.000000,ALLOW
17,0.000000,ALLOW
18,0.000000,ALLOW
19,0.000000,ALLOW
20,0.000000,ALLOW
21,0.000000,ALLOW
22,0.000000,ALLOW
23,0.000000,ALLOW
24,0.000000,ALLOW
25,0.000000,ALLOW
26,0.000000,ALLOW
27,0.000000,ALLOW
28,0.000000,ALLOW
29,0.000000,ALLOW
30,0.000000,ALLOW
31,0.000000,ALLOW
32,0.000000,ALLOW
33,0.000000,ALLOW
34,0.000000,ALLOW
35,0.000000,ALLOW
36,0.000000,ALLOW
37,0.000000,ALLOW
38,0.000000,ALLOW
39,0.000000,ALLOW
40,0.000000,ALLOW
41,0.000000,ALLOW
42,0.000000,ALLOW
43,0.000000,ALLOW
44,0.000000,ALLOW
45,0.000000,ALLOW
46,0.000000,ALLOW
47,0.000000,ALLOW
48,0.000000,ALLOW
49,0.000000,ALLOW
50,0.000000,ALLOW
51,0.000000,ALLOW
52,0.000000,ALLOW
53,0.000000,ALLOW
54,0.000000,ALLOW
55,1.952534,ALLOW
56,1.757280,ALLOW
57,1.581552,ALLOW
58,1.423397,ALLOW
59,2.868998,ALLOW
60,2.582098,ALLOW
61,2.323888,ALLOW
62,2.091500,ALLOW
63,1.882350,ALLOW
64,1.694115,ALLOW
65,1.524703,ALLOW
66,1.372233,ALLOW
67,3.096891,ALLOW
68,2.787202,ALLOW
69,2.508482,ALERT
70,2.257633,ALLOW
71,2.031870,ALLOW
72,1.828683,ALLOW
73,1.645815,ALLOW
74,1.481233,ALLOW
75,3.187756,ALLOW
76,2.868980,ALLOW
77,2.582082,ALLOW
78,2.323874,ALLOW
79,2.091487,ALLOW
80,1.882338,ALLOW
81,1.694104,ALLOW
82,1.524694,ALLOW
83,1.372224,ALLOW
84,1.235002,ALLOW
85,1.111502,ALLOW
86,1.000352,ALLOW
87,0.900316,ALLOW
88,0.810285,ALLOW
89,0.729256,ALLOW
90,0.656331,ALLOW
91,0.590698,ALLOW
92,0.531628,ALLOW
93,0.478465,ALLOW
94,3.335374,ALLOW
95,3.001836,ALLOW
96,4.728838,ALLOW
97,4.255954,ALLOW
98,3.830359,ALLOW
99,3.447323,ALLOW
100,3.102591,ALLOW
101,2.792332,ALLOW
102,2.513098,ALLOW
103,2.261789,ALLOW
104,2.035610,ALLOW
105,1.832049,ALLOW
106,1.648844,ALLOW
107,1.483959,ALLOW
108,1.335564,ALLOW
109,1.202007,ALLOW
110,1.081806,ALLOW
111,0.973626,ALLOW
112,0.876263,ALLOW
113,0.788637,ALLOW
114,0.709773,ALLOW
115,0.638796,ALLOW
116,0.574916,ALLOW
117,0.517425,ALLOW
118,0.465682,ALLOW
119,0.419114,ALLOW
120,0.377203,ALLOW
121,0.339482,ALLOW
122,0.305534,ALLOW
123,0.274981,ALLOW
124,0.247483,ALLOW
125,0.222734,ALLOW
126,0.200461,ALLOW
127,0.180415,ALLOW
128,2.303783,ALLOW
129,2.073405,ALLOW
130,1.866065,ALLOW
131,1.679458,ALLOW
132,1.511512,ALLOW
133,1.360361,ALLOW
134,1.224325,ALLOW
135,1.101892,ALLOW
136,0.991703,ALLOW
137,0.892533,ALLOW
138,0.803280,ALLOW
139,0.722952,ALLOW
140,0.650656,ALLOW
141,0.585591,ALLOW
142,0.527032,ALLOW
143,0.474329,ALLOW
144,0.426896,ALLOW
145,0.384206,ALLOW
146,0.345786,ALLOW
147,0.311207,ALLOW
148,0.280086,ALLOW
149,0.252078,ALLOW
150,0.226870,ALLOW
151,0.204183,ALLOW
152,0.183765,ALLOW
153,0.165388,ALLOW
154,0.148849,ALLOW
155,0.133964,ALLOW
156,0.120568,ALLOW
157,0.108511,ALLOW
158,0.097660,ALLOW
159,0.087894,ALLOW
160,0.079105,ALLOW
161,0.071194,ALLOW
162,0.064075,ALLOW
163,0.057667,ALLOW
164,0.051901,ALLOW
165,0.046710,ALLOW
166,0.042039,ALLOW
167,0.037836,ALLOW
168,0.034052,ALLOW
169,0.030647,ALLOW
170,0.027582,ALLOW
171,0.024824,ALLOW
172,0.022341,ALLOW
173,0.020107,ALLOW
174,0.018097,ALLOW
175,0.016287,ALLOW
176,0.014658,ALLOW
177,0.013192,ALLOW
178,0.011873,ALLOW
179,0.010686,ALLOW
180,0.009617,ALLOW
181,0.008656,ALLOW
182,0.007790,ALLOW
183,0.007011,ALLOW
184,0.006310,ALLOW
185,0.005679,ALLOW
186,0.005111,ALLOW
187,0.004600,ALLOW
188,0.004140,ALLOW
189,0.003726,ALLOW
190,0.003353,ALLOW
191,0.003018,ALLOW
192,0.002716,ALLOW
193,0.002445,ALLOW
194,0.002200,ALLOW
195,0.001980,ALLOW
196,0.001782,ALLOW
